"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","HullCity","Liverpool",1,3008,31,1,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"2","HullCity","Liverpool",2,3008,31,2,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"3","HullCity","Liverpool",3,3008,31,3,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"4","HullCity","Liverpool",4,3008,31,4,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"5","HullCity","Liverpool",5,3008,31,5,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"6","HullCity","Liverpool",6,3008,31,6,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"7","HullCity","Liverpool",7,3008,31,7,0,0,0,0,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"8","HullCity","Liverpool",8,3008,31,8,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"9","HullCity","Liverpool",9,3008,31,9,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"10","HullCity","Liverpool",10,3008,31,10,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"11","HullCity","Liverpool",11,3008,31,11,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"12","HullCity","Liverpool",12,3008,31,12,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"13","HullCity","Liverpool",13,3008,31,13,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"14","HullCity","Liverpool",14,3008,31,14,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"15","HullCity","Liverpool",15,3008,31,15,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"16","HullCity","Liverpool",16,3008,31,16,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"17","HullCity","Liverpool",17,3008,31,17,0,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"18","HullCity","Liverpool",18,3008,31,18,1,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"19","HullCity","Liverpool",19,3008,31,19,1,0,0,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"20","HullCity","Liverpool",20,3008,31,20,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"21","HullCity","Liverpool",21,3008,31,21,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"22","HullCity","Liverpool",22,3008,31,22,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"23","HullCity","Liverpool",23,3008,31,23,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"24","HullCity","Liverpool",24,3008,31,24,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"25","HullCity","Liverpool",25,3008,31,25,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"26","HullCity","Liverpool",26,3008,31,26,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"27","HullCity","Liverpool",27,3008,31,27,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"28","HullCity","Liverpool",28,3008,31,28,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"29","HullCity","Liverpool",29,3008,31,29,1,0,1,1,0,0,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"30","HullCity","Liverpool",30,3008,31,30,1,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"31","HullCity","Liverpool",31,3008,31,31,2,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"32","HullCity","Liverpool",32,3008,31,32,2,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"33","HullCity","Liverpool",33,3008,31,33,2,0,1,1,0,1,0,0,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"34","HullCity","Liverpool",34,3008,31,34,2,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"35","HullCity","Liverpool",35,3008,31,35,2,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"36","HullCity","Liverpool",36,3008,31,36,2,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
"37","HullCity","Liverpool",37,3008,31,37,3,0,1,1,0,1,0,1,0,0,"HOME",6,6,6,6,5,3,1,1,11,3,10,12,12,12,12,5,2,2,2,6,-1,7
