,sb-tor1,sb-tor2,sb-gelb1,sb-gelb2,sb-gelbrot1,sb-gelbrot2,sb-wechsel1,sb-wechsel2,sb-11m1,sb-11m2
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0
24,3,0,0,0,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0,0,0
26,3,0,0,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,0,0
29,3,0,0,0,0,0,0,0,0,0
30,3,0,0,0,0,0,0,0,0,0
31,3,0,0,0,0,0,0,0,0,0
32,3,0,0,0,0,0,0,0,0,0
33,3,0,0,0,0,0,0,0,0,0
34,3,0,0,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0,0
36,3,0,0,0,0,0,0,0,0,0
37,3,0,0,0,0,0,0,0,0,0
38,3,0,0,0,0,0,0,0,0,0
39,3,0,0,0,0,0,0,0,0,0
40,3,0,0,0,0,0,0,0,0,0
41,3,0,0,0,0,0,0,0,0,0
42,3,0,0,0,0,0,0,0,0,0
43,3,0,0,0,0,0,0,0,0,0
44,3,0,0,0,0,0,0,0,0,0
45,3,0,0,0,0,0,0,0,0,0
46,3,0,0,0,0,0,0,0,0,0
47,3,0,0,0,0,0,0,0,0,0
48,3,0,0,0,0,0,0,0,0,0
49,3,0,0,0,0,0,0,0,0,0
50,3,0,0,0,0,0,0,0,0,0
51,3,0,0,0,0,0,0,0,0,0
52,3,0,0,0,0,0,0,0,0,0
53,3,0,0,0,0,0,0,0,0,0
54,3,0,0,0,0,0,0,1,0,0
55,3,0,0,0,0,0,0,1,0,0
56,3,0,0,0,0,0,0,1,0,0
57,4,0,0,0,0,0,0,1,0,0
58,4,0,0,0,0,0,0,1,0,0
59,4,0,0,0,0,0,0,1,0,0
60,4,0,0,0,0,0,1,1,0,0
61,4,0,0,0,0,0,1,1,0,0
62,4,0,0,0,0,0,1,1,0,0
63,4,0,0,0,0,0,1,2,0,0
64,4,0,0,0,0,0,1,2,0,0
65,4,0,0,0,0,0,1,2,0,0
66,4,0,0,0,0,0,1,2,0,0
67,4,0,0,0,0,0,1,2,0,0
68,4,0,0,0,0,0,1,2,0,0
69,4,0,0,0,0,0,1,2,0,0
70,4,0,0,0,0,0,2,2,0,0
71,4,0,0,0,0,0,2,2,0,0
72,4,0,0,0,0,0,2,2,0,0
73,4,0,0,0,0,0,2,2,0,0
74,4,0,0,0,0,0,2,2,0,0
75,4,0,0,0,0,0,2,2,0,0
76,4,0,0,0,0,0,2,2,0,0
77,4,0,0,0,0,0,2,2,0,0
78,4,0,0,0,0,0,2,2,0,0
79,4,0,0,0,0,0,3,2,0,0
80,4,0,0,1,0,0,3,2,0,0
81,4,0,0,1,0,0,3,2,0,0
82,4,0,0,1,0,0,3,2,0,0
83,4,0,0,1,0,0,3,2,0,0
84,4,0,0,1,0,0,3,2,0,0
85,4,0,0,1,0,0,3,2,0,0
86,4,0,0,1,0,0,3,2,0,0
87,4,0,0,1,0,0,3,2,0,0
88,4,0,0,1,0,0,3,2,0,0
89,4,0,0,1,0,0,3,2,0,0
90,4,0,0,1,0,0,3,2,0,0
