"","X.1","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1",1,"Swansea","Sunderland",1,2288,289,1,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"2",2,"Swansea","Sunderland",2,2288,289,2,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"3",3,"Swansea","Sunderland",3,2288,289,3,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"4",4,"Swansea","Sunderland",4,2288,289,4,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"5",5,"Swansea","Sunderland",5,2288,289,5,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"6",6,"Swansea","Sunderland",6,2288,289,6,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"7",7,"Swansea","Sunderland",7,2288,289,7,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"8",8,"Swansea","Sunderland",8,2288,289,8,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"9",9,"Swansea","Sunderland",9,2288,289,9,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"10",10,"Swansea","Sunderland",10,2288,289,10,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"11",11,"Swansea","Sunderland",11,2288,289,11,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"12",12,"Swansea","Sunderland",12,2288,289,12,0,0,0,0,0,0,0,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"13",13,"Swansea","Sunderland",13,2288,289,13,0,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"14",14,"Swansea","Sunderland",14,2288,289,14,0,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"15",15,"Swansea","Sunderland",15,2288,289,15,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"16",16,"Swansea","Sunderland",16,2288,289,16,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"17",17,"Swansea","Sunderland",17,2288,289,17,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"18",18,"Swansea","Sunderland",18,2288,289,18,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"19",19,"Swansea","Sunderland",19,2288,289,19,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"20",20,"Swansea","Sunderland",20,2288,289,20,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"21",21,"Swansea","Sunderland",21,2288,289,21,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"22",22,"Swansea","Sunderland",22,2288,289,22,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"23",23,"Swansea","Sunderland",23,2288,289,23,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"24",24,"Swansea","Sunderland",24,2288,289,24,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"25",25,"Swansea","Sunderland",25,2288,289,25,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"26",26,"Swansea","Sunderland",26,2288,289,26,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"27",27,"Swansea","Sunderland",27,2288,289,27,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"28",28,"Swansea","Sunderland",28,2288,289,28,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"29",29,"Swansea","Sunderland",29,2288,289,29,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"30",30,"Swansea","Sunderland",30,2288,289,30,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"31",31,"Swansea","Sunderland",31,2288,289,31,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"32",32,"Swansea","Sunderland",32,2288,289,32,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"33",33,"Swansea","Sunderland",33,2288,289,33,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"34",34,"Swansea","Sunderland",34,2288,289,34,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"35",35,"Swansea","Sunderland",35,2288,289,35,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"36",36,"Swansea","Sunderland",36,2288,289,36,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"37",37,"Swansea","Sunderland",37,2288,289,37,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"38",38,"Swansea","Sunderland",38,2288,289,38,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"39",39,"Swansea","Sunderland",39,2288,289,39,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"40",40,"Swansea","Sunderland",40,2288,289,40,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"41",41,"Swansea","Sunderland",41,2288,289,41,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"42",42,"Swansea","Sunderland",42,2288,289,42,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"43",43,"Swansea","Sunderland",43,2288,289,43,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"44",44,"Swansea","Sunderland",44,2288,289,44,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"45",45,"Swansea","Sunderland",45,2288,289,45,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"46",46,"Swansea","Sunderland",46,2288,289,46,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"47",47,"Swansea","Sunderland",47,2288,289,47,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"48",48,"Swansea","Sunderland",48,2288,289,48,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"49",49,"Swansea","Sunderland",49,2288,289,49,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"50",50,"Swansea","Sunderland",50,2288,289,50,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"51",51,"Swansea","Sunderland",51,2288,289,51,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"52",52,"Swansea","Sunderland",52,2288,289,52,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"53",53,"Swansea","Sunderland",53,2288,289,53,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"54",54,"Swansea","Sunderland",54,2288,289,54,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"55",55,"Swansea","Sunderland",55,2288,289,55,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"56",56,"Swansea","Sunderland",56,2288,289,56,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"57",57,"Swansea","Sunderland",57,2288,289,57,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"58",58,"Swansea","Sunderland",58,2288,289,58,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"59",59,"Swansea","Sunderland",59,2288,289,59,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"60",60,"Swansea","Sunderland",60,2288,289,60,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"61",61,"Swansea","Sunderland",61,2288,289,61,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"62",62,"Swansea","Sunderland",62,2288,289,62,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"63",63,"Swansea","Sunderland",63,2288,289,63,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"64",64,"Swansea","Sunderland",64,2288,289,64,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"65",65,"Swansea","Sunderland",65,2288,289,65,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"66",66,"Swansea","Sunderland",66,2288,289,66,1,0,0,0,0,0,1,0,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"67",67,"Swansea","Sunderland",67,2288,289,67,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"68",68,"Swansea","Sunderland",68,2288,289,68,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"69",69,"Swansea","Sunderland",69,2288,289,69,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"70",70,"Swansea","Sunderland",70,2288,289,70,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"71",71,"Swansea","Sunderland",71,2288,289,71,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"72",72,"Swansea","Sunderland",72,2288,289,72,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"73",73,"Swansea","Sunderland",73,2288,289,73,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"74",74,"Swansea","Sunderland",74,2288,289,74,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"75",75,"Swansea","Sunderland",75,2288,289,75,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"76",76,"Swansea","Sunderland",76,2288,289,76,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"77",77,"Swansea","Sunderland",77,2288,289,77,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"78",78,"Swansea","Sunderland",78,2288,289,78,1,0,0,0,0,0,1,1,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"79",79,"Swansea","Sunderland",79,2288,289,79,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"80",80,"Swansea","Sunderland",80,2288,289,80,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"81",81,"Swansea","Sunderland",81,2288,289,81,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"82",82,"Swansea","Sunderland",82,2288,289,82,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"83",83,"Swansea","Sunderland",83,2288,289,83,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"84",84,"Swansea","Sunderland",84,2288,289,84,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"85",85,"Swansea","Sunderland",85,2288,289,85,1,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"86",86,"Swansea","Sunderland",86,2288,289,86,2,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"87",87,"Swansea","Sunderland",87,2288,289,87,2,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"88",88,"Swansea","Sunderland",88,2288,289,88,2,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"89",89,"Swansea","Sunderland",89,2288,289,89,2,0,0,0,0,0,2,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
"90",90,"Swansea","Sunderland",90,2288,289,90,2,0,0,0,0,0,3,2,0,0,"HOME",11,11,35,11,11,13,42,1,44,12,12,35,11,10,14,39,-6,43
