"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","Burnley","WestBrom",1,1132,984,1,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"2","Burnley","WestBrom",2,1132,984,2,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"3","Burnley","WestBrom",3,1132,984,3,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"4","Burnley","WestBrom",4,1132,984,4,0,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"5","Burnley","WestBrom",5,1132,984,5,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"6","Burnley","WestBrom",6,1132,984,6,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"7","Burnley","WestBrom",7,1132,984,7,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"8","Burnley","WestBrom",8,1132,984,8,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"9","Burnley","WestBrom",9,1132,984,9,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"10","Burnley","WestBrom",10,1132,984,10,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"11","Burnley","WestBrom",11,1132,984,11,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"12","Burnley","WestBrom",12,1132,984,12,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"13","Burnley","WestBrom",13,1132,984,13,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"14","Burnley","WestBrom",14,1132,984,14,1,0,0,0,0,0,0,0,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
