1, Chelsea,14,9,1,4,28:9,19,28
2, Man Utd,14,7,7,0,28:15,13,28
3, Arsenal,14,8,2,4,28:15,13,26
4, Man City,14,7,4,3,19:11,8,25
5, Bolton,14,5,7,2,26:20,6,22
6, Spurs,14,6,4,4,21:19,2,22
7, Sunderland,14,4,8,2,17:15,2,20
8, Stoke City,14,6,1,7,18:18,0,19
9, Liverpool,14,5,4,5,16:17,-1,19
10, Newcastle,14,5,3,6,22:21,1,18
11, Blackburn,14,5,3,6,17:18,-1,18
12, Blackpool,14,5,3,6,21:27,-6,18
13, Aston Villa,14,4,5,5,15:20,-5,17
14, Everton,14,3,7,4,16:15,1,16
15, Birmingham,14,3,7,4,15:17,-2,16
16, West Brom,14,4,4,6,16:25,-9,16
17, Fulham,14,2,8,4,14:17,-3,14
18, Wigan,14,3,5,6,10:23,-13,14
19, Wolves ,14,2,3,9,14:25,-11,9
20, West Ham,14,1,6,7,11:25,-14,9
